,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/29/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/30/2018,4/30/2018,5/31/2018
CATMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2333725,127.7916955,124.0187661,115.3333644,120.3845571,116.6604061,123.6865702,119.161371,146.8146643,132.4911955,133.4813219,135.5652609,134.9165938,137.7160053,130.7640655,132.6424801,129.2967489,127.0683574,128.7297331,124.0307265,117.6635769,111.3570344,117.2033841,124.0861996,126.9669112,129.7741964,136.2885573,143.4545826,139.0385188,138.9986968,141.5203737,142.3472033,143.0365335,147.5714936,157.2072728,164.7937768,156.282178,150.3357366,145.8701039,149.5806846,149.4630951,147.6342418,143.6023252,135.8480306,152.3371755,159.7763438,160.174295,160.1335915,151.8822749,166.8765963,166.7550055,167.8438668,164.5420857,208.5465414,207.4966121,212.6317377,191.1201158,186.2228679,184.0931142,174.5829689,163.6650983,158.131252,157.5365666,148.7208291,149.2477978,155.0338403,151.2889365,164.7119027
CBE,120.2521315,109.2157645,115.9579918,117.5939246,104.4138874,106.2508691,111.4053863,120.4093559,128.3541845,127.7340898,132.7141608,104.4565877,96.28752256,91.51034699,87.08331837,92.16195202,93.5466683,97.79065629,92.02438624,89.64742557,121.7663027,125.8105975,124.1483949,142.4830942,139.6577931,140.6521948,134.1479317,136.495018,135.5561543,138.7234082,139.0661297,136.1006617,117.4382122,118.9501607,104.0585052,108.5939526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0273494,242.8792046,270.5382936,285.7078597,268.3130457,261.3339568,268.062015,276.5147631,302.9590062,315.3499076,274.0190506,270.3947659,281.7750906,273.6072882,226.4971624,233.7044877,219.2841007,215.7789625,209.4020499,209.7867643,189.8847283,168.9390182,161.423644,150.0026423,135.6433747,134.1789478,133.2041211,146.7006118,137.9741946,148.0327796,138.9899233,118.5741618,122.5546246,132.6269718,131.7180681,138.7693216
CBS,221.6743113,238.8747565,244.4366139,176.9420554,192.6017611,248.8223242,243.1103935,215.7002208,239.8424658,237.4477209,227.3689411,234.9487896,208.5285196,199.8886365,186.2980706,185.0888748,186.8884123,189.6491054,184.0246643,186.8107927,237.1255903,269.5800942,237.2139472,273.5443589,263.1378141,256.1179605,203.6519745,210.8948544,213.0415065,229.7294498,225.6838354,203.3345614,208.194067,187.4243918,170.7253043,191.2899189,183.5211968,188.9540179,195.4701617,198.2415892,183.5461101,184.0840943,208.257767,191.7373197,202.997208,202.5598709,188.6370694,182.0173119,165.2357529,162.0675787,156.9153296,142.6511304,141.5480972,141.2490062,139.7814026,136.3599981,134.7467581,141.9887754,149.202779,155.4489777,156.8720904,158.7407511,159.7590465,162.4090087,165.0404521,177.668969,188.6908239,193.8817448,208.0949147,212.1393186,195.145501,192.5723969,205.0157511,230.9635311,233.6848126,194.4331521,169.114848,165.6556667,175.7600409,172.5460064,166.6613746,170.6366277,156.7565318,152.9939603,145.3587499,148.9738994,141.9870034,142.233243,136.1954067,139.9957833,130.9669553,123.0084401,132.7162092,127.4060303,123.2768872,135.302238,131.3773807,119.308421,124.0005802,143.7835047,144.1133191,159.7228966
CBT,199.9264069,217.2918091,212.6936951,203.3958893,204.476593,230.2659912,211.3646088,166.8002014,167.5888977,154.1674042,152.0939026,154.6131897,156.2465973,152.1060028,152.5453033,145.1513062,143.5057068,148.7877045,154.7929993,156.5935974,185.3190002,200.8022003,183.9212952,200.5263977,196.1902008,187.8683014,169.658905,173.1762085,172.8683014,179.6036072,180.114502,183.6201898,179.5082785,180.8126031,151.3794681,164.8705448,167.791455,166.5479478,158.1664115,159.6120853,161.6773922,145.3539075,153.5132195,134.3656105,141.468644,148.9792436,145.6736999,148.5947622,146.8292091,153.2911074,117.9772377,111.9307438,115.4415673,101.8917182,103.309397,99.65450502,101.7573058,110.1391494,117.405715,123.1412087,117.5524446,120.8401476,105.144203,115.9516187,109.3982869,111.4306138,121.9774085,124.9669336,139.1030502,149.3030148,181.7934821,183.2905157,196.7295917,218.297712,226.1389747,209.3476353,178.2487279,189.7054919,190.2006266,164.5800141,143.1153384,149.4392751,135.9318549,141.855067,138.4662066,139.418461,141.9599488,122.4192047,113.3931961,113.6128998,107.2931976,97.55670166,118.8961945,105.2739944,83.90169525,85.81060028,87.13080597,85.77400208,85.8062973,85.75230408,95.15670013,117.8720016
CCE,101.9327542,91.91221559,97.48837144,93.7950487,77.56685256,84.00271955,86.77183782,86.04061572,108.8371678,101.9335255,90.38020665,81.95116069,82.74496865,82.89280967,73.37680089,80.7081432,82.79347861,82.02113561,92.48724142,89.50296475,111.8345696,121.8437448,107.4041264,131.890448,123.4930294,115.8888393,109.2526966,107.7866051,110.2263555,119.1427153,117.0116089,112.2976252,112.262855,108.1329481,92.10875181,116.1565095,107.8669059,97.07412782,105.85525,107.3417074,105.9629213,103.3649445,118.8331211,105.795219,104.1888596,108.6075436,103.1476909,105.2417926,89.74749647,88.24212273,85.51328827,79.61661188,74.07452949,75.97174233,78.81306559,77.73919107,77.88771604,95.38797108,102.1278542,99.20782951,99.71295865,99.70406146,94.69114629,95.6709222,85.58969583,84.45664207,95.27312971,99.57845766,112.0417786,114.8829817,127.3628348,114.7153995,126.1337249,139.0319762,142.9327819,121.1804582,122.4850563,117.4384763,131.1697157,97.39109966,104.4211155,95.61984362,94.81880906,97.4935048,102.6579576,90.99134599,89.40236041,90.00038192,94.42061616,89.87773635,81.1260761,65.90387393,72.57351101,67.19364372,56.33899003,57.17206172,64.2943888,52.89952457,60.72139542,73.86945096,62.78480148,71.21350098
CCHLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3876953,100.6579056,101.8646011,105.7491989,108.0100098,97.88969421,106.6184082,103.5559082,96.43250275,98.36429596,86.34200287,82.59840393,94.20570374,92.17410278,91.2168045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8355503,175.8226471,174.8534023,176.2146449,167.5380907,165.3873473,182.9457088,180.9979633,196.0860962,231.7394691,191.6968429,186.2084194,167.2273732,167.111082,160.3975213,144.0841205,129.2519547,122.3941587,122.8371229,114.2324188,120.5069166,121.469629,126.2205735,141.8215722,147.3886669,161.2196064,153.0548776,160.9154066,161.4230107,168.4437269,187.7835443,173.7607337,180.3369348,183.5362743,173.082812,175.3497644,178.3622899,222.3247275,237.9002537,208.7976069,158.3542236,161.6429413,172.2620321,147.4418145,127.0820859,140.9848161,140.7401575,145.6378395,144.0807855,140.1099975,135.5924779,137.13086,124.9707482,114.3373493,110.4537295,108.4080278,119.0099796,112.3056528,105.202554,107.2633313,104.6028374,99.84998144,106.890105,122.6509297,123.2481742,131.823698
CCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.7985001,106.921402,112.418602,97.19933802,96.89735315,96.65666516,97.56321482,112.5511884,106.2935093,111.4835474,114.8447494,140.0117117,142.2853328,137.1978568,125.3821761,112.9850516,116.0528692,94.29017883,91.02328064,96.46793032,96.26665629,91.4698558,90.97713624,102.4904254,101.7862645,117.5073612,115.1125434,114.4794382,120.9104762,119.0636867,118.937009,118.2424594,123.7956566,126.4636407,139.0320117,136.7442317,110.0236774,115.5627768,131.3811289,138.2102419,114.5578782,96.07669777,96.6886991,96.14582439,94.02507138,83.8925124,83.68804835,75.99685742,75.63078957,84.88220215,79.07299805,72.22040558,75.68119812,69.57949829,69.26509857,54.23129654,51.25180054,56.73530197,57.42620087,52.21670151,51.34580231,47.93500137,39.56280136,45.06470108,56.73929977,51.58920288,51.76259995
CDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.9516028,207.0066756,215.4133335,219.5236269,205.2079351,210.7489818,206.6406017,213.6606893,205.7926803,211.7769065,214.3838963,221.0347504,216.669967,218.9891542,228.813449,246.2027037,246.7161249,261.4399763,240.7269399,242.258452,301.371386,281.6349038,270.3403464,273.3925463,245.102604,,,,,,,,,,,,,,,,,,,
